Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1132;21100894868;"Sociologia y Tecnociencia";journal;"19898487";"Universidad de Valladolid";Yes;Yes;0,128;Q4;5;31;73;1108;28;73;0,43;35,74;52,83;1;17;Spain;Western Europe;"Universidad de Valladolid";"2018-2025";"Development (Q4); Health (social science) (Q4); Management of Technology and Innovation (Q4); Sociology and Political Science (Q4)";"Business, Management and Accounting; Social Sciences"
1133;5600153103;"Tocqueville Review";journal;"0730479X";"University of Toronto Press";No;No;0,128;Q4;8;20;83;766;15;78;0,24;38,30;19,05;0;4;Canada;Northern America;"University of Toronto Press";"2009-2024";"History (Q2); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1134;21101043801;"Urban Social Work";journal;"24748684, 24748692";"Springer Publishing Company";No;No;0,128;Q4;5;17;35;708;6;30;0,11;41,65;73,68;0;6;United States;Northern America;"Springer Publishing Company";"2017-2024";"Health (social science) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1135;21100433805;"Youth Voice Journal";journal;"20562969, 20492073";"RJ4All Publications";No;No;0,128;Q4;7;85;91;2851;26;85;0,29;33,54;73,08;0;40;United Kingdom;Western Europe;"RJ4All Publications";"2015-2024";"Social Psychology (Q4); Sociology and Political Science (Q4)";"Psychology; Social Sciences"
1136;20300195060;"Journal of Song-Yuan Studies";journal;"21546665, 10593152";"Society for Song, Yuan, and Conquest Dynasties Studies";No;No;0,127;Q4;7;13;45;676;10;42;0,30;52,00;41,67;0;0;United States;Northern America;"Society for Song, Yuan, and Conquest Dynasties Studies";"2010-2012, 2014-2015, 2019-2024";"History (Q2); Literature and Literary Theory (Q2); Cultural Studies (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1137;82318;"Revista de Estudios Regionales";journal;"02137585";"Departamento de Politica Economica, Facultad de Ciencias Economicas y Empresariales";No;No;0,127;Q4;11;19;45;1021;17;45;0,21;53,74;40,00;1;13;Spain;Western Europe;"Departamento de Politica Economica, Facultad de Ciencias Economicas y Empresariales";"1978, 2006, 2012-2024";"Development (Q4); Economics and Econometrics (Q4); Sociology and Political Science (Q4)";"Economics, Econometrics and Finance; Social Sciences"
1138;5700163444;"Russian Review";journal;"00360341";"Wiley-Blackwell Publishing Ltd";No;No;0,127;Q4;32;28;89;0;24;82;0,25;0,00;55,17;0;3;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973, 1978, 1981, 1983, 1985, 1987, 1996-2025";"Literature and Literary Theory (Q2); Cultural Studies (Q3); History (Q3); Linguistics and Language (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1139;21100455214;"Caritas et Veritas";journal;"18050948";"University of South Bohemia";Yes;No;0,126;Q4;3;17;93;765;5;90;0,04;45,00;15,00;0;4;Czech Republic;Eastern Europe;"University of South Bohemia";"2015-2024";"Religious Studies (Q2); Philosophy (Q3); Education (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1140;21100892768;"Filozofija i Drustvo";journal;"03535738, 23348577";"University of Belgrade - Institute for Philosophy and Social Theory";Yes;Yes;0,126;Q4;4;59;126;1925;21;108;0,19;32,63;47,62;0;15;Serbia;Eastern Europe;"University of Belgrade - Institute for Philosophy and Social Theory";"2018-2024";"Philosophy (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1141;6600153108;"International Journal of Public Policy";journal;"17400600, 17400619";"Inderscience Enterprises Ltd";No;No;0,126;Q4;17;16;28;1011;10;27;0,10;63,19;37,50;0;8;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2005-2024";"Political Science and International Relations (Q4); Public Administration (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1142;21101082209;"Revista Brasileira de Ciencias Policiais";journal;"23186917, 21780013";"National Police Academy";Yes;Yes;0,126;Q4;2;48;85;1606;8;77;0,09;33,46;18,46;0;24;Brazil;Latin America;"National Police Academy";"2019-2023";"Law (Q4); Political Science and International Relations (Q4); Safety Research (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1143;19400157109;"China Nonprofit Review";journal;"18765149, 18765092";"Tsinghua University Press";No;No;0,125;Q4;6;5;38;193;15;38;0,41;38,60;42,86;0;1;Netherlands;Western Europe;"Tsinghua University Press";"2009-2022";"Economics and Econometrics (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Economics, Econometrics and Finance; Social Sciences"
1144;5600153254;"Dirasat: Human and Social Sciences";journal;"10263721, 26636190";"The University of Jordan";No;No;0,125;Q4;8;327;514;9114;47;514;0,06;27,87;37,94;0;75;Jordan;Middle East;"The University of Jordan";"2007-2025";"Arts and Humanities (miscellaneous) (Q3); Health (social science) (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1145;21101028122;"Esbocos";journal;"1414722X, 21757976";"Universidade Federal de Santa Catarina";Yes;Yes;0,125;Q4;5;43;103;1432;15;94;0,19;33,30;41,30;0;7;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2019-2024";"History (Q3); Anthropology (Q4); History and Philosophy of Science (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1146;21101037169;"Journal of Community Positive Practices";journal;"22476571, 15828344";"Catalactica Association";No;No;0,125;Q4;4;47;49;1528;9;49;0,19;32,51;53,13;0;31;Romania;Eastern Europe;"Catalactica Association";"2019-2024";"Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1147;21100793925;"Nordic Journal of Human Rights";journal;"1891814X, 18918131";"Taylor and Francis Ltd.";No;No;0,125;Q4;15;28;64;216;56;59;0,46;7,71;70,00;5;27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2025";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1148;21100920038;"Revista de Bioetica y Derecho";journal;"18865887";"Universitat de Barcelona, Observatorio de Bioetica y Derecho";Yes;Yes;0,125;Q4;6;35;145;921;42;135;0,19;26,31;46,00;1;13;Spain;Western Europe;"Universitat de Barcelona, Observatorio de Bioetica y Derecho";"2019-2024";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1149;21100874136;"Sozialer Fortschritt";journal;"18655386, 0038609X";"Duncker und Humblot GmbH";No;No;0,125;Q4;9;52;148;1835;15;128;0,14;35,29;48,86;2;28;Germany;Western Europe;"Duncker und Humblot GmbH";"2008-2025";"Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1150;21100467355;"Historicka Sociologie";journal;"18040616, 23363525";"Charles University";Yes;Yes;0,124;Q4;4;25;55;767;5;52;0,06;30,68;32,14;0;3;Czech Republic;Eastern Europe;"Charles University";"2016-2024";"Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1151;5800170561;"Mediterranean Historical Review";journal;"1743940X, 09518967";"Routledge";No;No;0,124;Q4;23;10;32;893;19;29;0,43;89,30;46,15;0;1;United Kingdom;Western Europe;"Routledge";"1986-2024";"Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1152;21101039620;"Archivos de Historia del Movimiento Obrero y la Izquierda";journal;"26839601, 23139749";"Centro de Estudios Historicos de los Trabajadores y las Izquierdas";Yes;Yes;0,123;Q4;4;19;57;528;7;46;0,10;27,79;44,44;1;3;Argentina;Latin America;"Centro de Estudios Historicos de los Trabajadores y las Izquierdas";"2019-2024";"History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1153;21100980650;"Asia Maior";journal;"23852526";"Viella";Yes;Yes;0,123;Q4;4;32;59;1973;28;56;0,64;61,66;29,63;0;16;Italy;Western Europe;"Viella";"2018-2023";"Cultural Studies (Q3); History (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1154;21101042951;"Estonian Discussions on Economic Policy";journal;"22281878, 17365597";"Mattimar OU";Yes;Yes;0,123;Q4;3;37;58;254;2;54;0,05;6,86;21,43;0;6;Estonia;Eastern Europe;"Mattimar OU";"2019-2024";"Development (Q4); Economics and Econometrics (Q4); Finance (Q4); Public Administration (Q4); Sociology and Political Science (Q4)";"Economics, Econometrics and Finance; Social Sciences"
1155;17600155220;"Geneses";journal;"11553219";"Editions Belin";No;No;0,123;Q4;25;24;108;948;33;104;0,17;39,50;48,00;1;0;France;Western Europe;"Editions Belin";"2000-2024";"Cultural Studies (Q3); History (Q3); Public Administration (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1156;21100925891;"Journal of Early Modern Studies";journal;"22797149";"Firenze University Press";Yes;Yes;0,123;Q4;4;12;31;424;8;29;0,13;35,33;40,00;0;0;Italy;Western Europe;"Firenze University Press";"2019-2024";"Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); Cultural Studies (Q3); History (Q3); Linguistics and Language (Q3); Religious Studies (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1157;21101070310;"Thammasat Review";journal;"08595747, 26300303";"Thammasat University";No;No;0,123;Q4;5;19;64;877;24;64;0,33;46,16;45,45;0;11;Thailand;Asiatic Region;"Thammasat University";"2019-2024";"Religious Studies (Q3); History and Philosophy of Science (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1158;14529;"Eire-Ireland; a journal of Irish studies";journal;"00132683, 15505162";"Irish American Cultural Institute";No;No;0,122;Q4;17;13;68;958;26;67;0,45;73,69;58,33;0;0;United States;Northern America;"Irish American Cultural Institute";"1976-1977, 1979-1980, 1982, 1987, 2000-2024";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1159;21101060203;"Interdisciplinary Political Studies";journal;"20398573";"ESE - Salento University Publishing";Yes;Yes;0,122;Q4;6;17;67;1114;12;66;0,23;65,53;69,57;0;8;Italy;Western Europe;"ESE - Salento University Publishing";"2017-2024";"Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1160;15671;"Journal of Political and Military Sociology";journal;"00472697";"Journal of Political and Military Sociology";No;No;0,122;Q4;22;5;23;402;1;23;0,07;80,40;44,44;0;0;United States;Northern America;"Journal of Political and Military Sociology";"1996-2017, 2019-2023";"Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1161;5800170732;"American Communist History";journal;"14743892, 14743906";"Taylor and Francis Ltd.";No;No;0,121;Q4;6;12;30;66;5;28;0,22;5,50;25,00;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2024";"History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1162;21100244605;"Cuestiones Constitucionales";journal;"14059193";"Universidad Nacional Autonoma de Mexico";Yes;Yes;0,121;Q4;7;35;117;1335;12;117;0,06;38,14;30,61;2;21;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"2013-2025";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1163;21100211106;"Historia Social";journal;"02142570";"Fundacion Instituto de Historia Social";No;No;0,121;Q4;10;25;78;1981;24;76;0,31;79,24;17,24;0;4;Spain;Western Europe;"Fundacion Instituto de Historia Social";"2011-2024";"History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1164;21100815552;"Ideology and Politics Journal";journal;"22276068";"Foundation for Good Politics";Yes;Yes;0,121;Q4;6;11;96;623;33;96;0,26;56,64;18,18;0;1;Ukraine;Eastern Europe;"Foundation for Good Politics";"2016-2024";"Sociology and Political Science (Q4)";"Social Sciences"
1165;21100258854;"International Journal of Interdisciplinary Social and Community Studies";journal;"23247584, 23247576";"Common Ground Research Networks";No;No;0,121;Q4;7;28;52;1336;8;52;0,19;47,71;61,40;0;19;United States;Northern America;"Common Ground Research Networks";"2012-2025";"Cultural Studies (Q3); Sociology and Political Science (Q4)";"Social Sciences"
1166;21100940535;"Journal of Religion and Violence";journal;"21596808";"Philosophy Documentation Center";No;No;0,121;Q4;6;5;43;320;12;37;0,21;64,00;25,00;0;1;United States;Northern America;"Philosophy Documentation Center";"2019-2022";"Religious Studies (Q3); Law (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1167;21100900136;"Perspectiva Teologica";journal;"21768757, 01024469";"Faculdade Jesuita de Filosofia e Teologia";Yes;Yes;0,121;Q4;4;36;103;1305;13;94;0,15;36,25;28,95;0;5;Brazil;Latin America;"Faculdade Jesuita de Filosofia e Teologia";"2018-2024";"Philosophy (Q3); Religious Studies (Q3); Education (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1168;21100254486;"Studia Politica";journal;"15824551";"Institute for Political Research of the Department of Political Science, University of Bucharest";No;No;0,121;Q4;6;11;66;65;11;66;0,15;5,91;53,33;0;1;Romania;Eastern Europe;"Institute for Political Research of the Department of Political Science, University of Bucharest";"2013-2024";"Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1169;21100933962;"Age of Human Rights Journal";journal;"23409592";"Universidad de Jaen";Yes;Yes;0,120;Q4;6;40;71;1807;17;71;0,20;45,18;54,79;2;36;Spain;Western Europe;"Universidad de Jaen";"2013-2024";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1170;21100902912;"European Yearbook of Minority Issues";journal;"15707865, 22116117";"Brill Academic Publishers";No;No;0,120;Q4;13;15;42;1308;11;38;0,25;87,20;50,00;0;0;Netherlands;Western Europe;"Brill Academic Publishers";"2001, 2003-2005, 2008, 2010-2024";"Cultural Studies (Q3); Anthropology (Q4); Geography, Planning and Development (Q4); Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1171;17100154725;"Journal of Persianate Studies";journal;"18747094, 18747167";"Brill Academic Publishers";No;No;0,120;Q4;12;17;19;828;8;18;0,54;48,71;15,79;0;0;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2024";"Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1172;21101062494;"Studies in Media and Communication";journal;"2325808X, 23258071";"Redfame Publishing Inc.";No;No;0,120;Q4;11;78;45;2803;23;45;0,48;35,94;66,03;0;16;United States;Northern America;"Redfame Publishing Inc.";"2019-2025";"Communication (Q4); Political Science and International Relations (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1173;6500153157;"Caribbean Quarterly";journal;"00086495";"Extra Mural Department of the University College of the West Indies";No;No;0,119;Q4;14;33;108;0;22;55;0,21;0,00;63,33;0;1;United Kingdom;Western Europe;"Extra Mural Department of the University College of the West Indies";"1996-2024";"Cultural Studies (Q3); History (Q3); Anthropology (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1174;21100258750;"International Journal of Interdisciplinary Civic and Political Studies";journal;"23272481, 23270071";"Common Ground Research Networks";No;No;0,119;Q4;4;20;26;981;6;26;0,33;49,05;13,33;0;9;United States;Northern America;"Common Ground Research Networks";"2012-2024";"Sociology and Political Science (Q4)";"Social Sciences"
1175;21100842565;"Journal of New Zealand and Pacific Studies";journal;"20504039, 20504047";"Intellect Ltd.";No;No;0,119;Q4;3;11;70;232;9;65;0,09;21,09;55,56;0;4;United Kingdom;Western Europe;"Intellect Ltd.";"2017-2024";"Literature and Literary Theory (Q2); Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1176;22339;"Nigerian Journal of Economic and Social Studies";journal;"00290092";"Nigerian Economic Society";No;No;0,119;Q4;6;17;40;731;12;40;0,32;43,00;30,56;0;12;Nigeria;Africa;"Nigerian Economic Society";"1967, 1974-1977, 1982, 1984-1988, 1992, 1996-2009, 2016-2024";"Economics and Econometrics (Q4); Finance (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Economics, Econometrics and Finance; Social Sciences"
1177;4800153105;"Research in Urban Sociology";book series;"10470042";"Emerald Group Publishing Ltd.";No;No;0,119;Q4;15;0;26;0;5;10;0,07;0,00;0,00;0;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2001, 2004, 2006, 2008, 2010-2014, 2016, 2019, 2021, 2023";"Sociology and Political Science (Q4); Urban Studies (Q4)";"Social Sciences"
1178;5700161893;"Revue Internationale de Politique Comparee";journal;"13700731, 17821533";"De Boeck Supérieur";No;No;0,119;Q4;15;12;58;583;7;56;0,14;48,58;50,00;0;1;Belgium;Western Europe;"De Boeck Supérieur";"2001-2023";"Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1179;17700156014;"Travail, Genre et Societes";journal;"12946303";"Editions La Decouverte";No;No;0,119;Q4;18;53;84;695;26;81;0,25;13,11;75,44;2;0;France;Western Europe;"Editions La Decouverte";"2001-2024";"Business and International Management (Q4); Economics and Econometrics (Q4); Gender Studies (Q4); Organizational Behavior and Human Resource Management (Q4); Sociology and Political Science (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
1180;4000152115;"Advances in Public Interest Accounting";book series;"10417060";"Emerald Group Publishing Ltd.";No;No;0,118;Q4;12;0;11;0;3;5;0,50;0,00;0,00;0;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2001-2002, 2004-2007, 2009-2010, 2013-2017, 2019-2020";"Accounting (Q4); Sociology and Political Science (Q4)";"Business, Management and Accounting; Social Sciences"
1181;5700161424;"Asia Pacific Journal on Human Rights and the Law";journal;"13881906, 15718158";"Martinus Nijhoff Publishers";No;No;0,118;Q4;14;12;25;644;5;25;0,19;53,67;35,71;0;11;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"2000-2024";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1182;21101054424;"Contemporary Southeastern Europe";journal;"23103612";"University of Graz";Yes;Yes;0,118;Q4;4;10;30;401;5;30;0,17;40,10;16,67;0;2;Austria;Western Europe;"University of Graz";"2019-2025";"Arts and Humanities (miscellaneous) (Q3); Cultural Studies (Q3); History (Q3); Anthropology (Q4); Gender Studies (Q4); Law (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1183;7600153110;"Hawwa";journal;"15692078, 15692086";"Brill Academic Publishers";No;No;0,118;Q4;16;3;69;44;19;66;0,34;14,67;66,67;0;2;Netherlands;Western Europe;"Brill Academic Publishers";"2003-2012, 2014-2025";"Cultural Studies (Q3); Gender Studies (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1184;21101034376;"Journal of Time Use Research";journal;"26647958";"International Association for Time Use Research";No;No;0,118;Q4;2;3;9;141;3;9;0,33;47,00;50,00;2;0;Belgium;Western Europe;"International Association for Time Use Research";"2020-2023";"Economics, Econometrics and Finance (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Economics, Econometrics and Finance; Social Sciences"
1185;5600153212;"Durkheimian Studies";journal;"17522307, 1362024X";"Berghahn Journals";No;No;0,117;Q4;7;8;23;411;7;22;0,30;51,38;25,00;0;0;United Kingdom;Western Europe;"Berghahn Journals";"2011-2015, 2017, 2020-2023";"Philosophy (Q3); Religious Studies (Q3); Anthropology (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1186;21101021441;"European Journal of American Studies";journal;"19919336";"European Association for American Studies";Yes;Yes;0,117;Q4;5;49;96;1521;24;94;0,12;31,04;65,31;0;5;France;Western Europe;"European Association for American Studies";"2018-2024";"Literature and Literary Theory (Q2); Cultural Studies (Q3); History (Q3); Geography, Planning and Development (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1187;21100845367;"Las Torres De Lucca";journal;"22553827";"Universidad Complutense Madrid";Yes;Yes;0,117;Q4;5;29;65;879;16;62;0,33;30,31;47,62;0;10;Spain;Western Europe;"Universidad Complutense Madrid";"2017-2025";"Philosophy (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1188;5600153193;"Social Science Forum";journal;"03523608";"Univerza v Ljubljani";Yes;Yes;0,117;Q4;5;21;41;942;12;40;0,38;44,86;69,23;0;0;Slovenia;Eastern Europe;"Univerza v Ljubljani";"2017-2024";"Cultural Studies (Q3); Communication (Q4); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1189;21100811505;"Symposion";journal;"23926260, 1584174X";"Gheorghe Zane Institute for Economic and Social Research, Romanian Academy, Iasi Branch";Yes;Yes;0,117;Q4;6;14;44;488;2;43;0,03;34,86;13,33;0;2;Romania;Eastern Europe;"Gheorghe Zane Institute for Economic and Social Research, Romanian Academy, Iasi Branch";"2014-2024";"Philosophy (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1190;21100937582;"Economia y Politica";journal;"07194714, 07194803";"Universidad Adolfo Ibanez";Yes;Yes;0,116;Q4;4;10;25;812;14;25;0,63;81,20;17,24;0;3;Chile;Latin America;"Universidad Adolfo Ibanez";"2019-2023";"Cultural Studies (Q3); Economics and Econometrics (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Economics, Econometrics and Finance; Social Sciences"
1191;21100899913;"Espacio, Tiempo y Educacion";journal;"23407263";"FahrenHouse";Yes;Yes;0,116;Q4;6;23;91;751;29;84;0,31;32,65;45,00;0;9;Spain;Western Europe;"FahrenHouse";"2018-2023";"History (Q3); Philosophy (Q3); Education (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1192;13138;"German Life and Letters";journal;"00168777, 14680483";"Wiley-Blackwell Publishing Ltd";No;No;0,116;Q4;15;36;96;0;17;84;0,18;0,00;50,00;0;7;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1936-1939, 1947-2025";"Literature and Literary Theory (Q2); Cultural Studies (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1193;5600156553;"Journal of Pacific History";journal;"00223344";"Taylor and Francis Ltd.";No;No;0,116;Q4;23;26;80;0;26;70;0,23;0,00;39,29;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1966-2025";"Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1194;27223;"Luso-Brazilian Review";journal;"15489957, 00247413";"University of Wisconsin Press";No;No;0,116;Q4;7;16;35;720;3;32;0,05;45,00;35,71;0;3;United States;Northern America;"University of Wisconsin Press";"1978, 1980-1981, 1999, 2001, 2009-2024";"Literature and Literary Theory (Q2); Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1195;4400151416;"Muslim World Journal of Human Rights";journal;"15544419, 21946558";"Walter de Gruyter GmbH";No;No;0,116;Q4;14;5;15;205;6;15;0,42;41,00;0,00;0;5;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2007, 2009-2023";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1196;12431;"Prace i Studia Geograficzne";journal;"25437313, 02084589";"";Yes;No;0,116;Q4;12;27;107;1412;18;105;0,18;52,30;42,00;0;10;Poland;Eastern Europe;"";"1979, 1983-1985, 1988, 1992, 1994-2005, 2008-2024";"Cultural Studies (Q3); Earth and Planetary Sciences (miscellaneous) (Q4); Geography, Planning and Development (Q4); Sociology and Political Science (Q4); Tourism, Leisure and Hospitality Management (Q4); Urban Studies (Q4)";"Business, Management and Accounting; Earth and Planetary Sciences; Social Sciences"
1197;21101062822;"Revista Juridica Portucalense";journal;"21835705, 21835799";"Universidade Portucalense";Yes;Yes;0,116;Q4;4;63;52;1597;4;44;0,10;25,35;53,85;1;24;Portugal;Western Europe;"Universidade Portucalense";"2019-2025";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1198;21100427160;"Rulers and Elites";book series;"22114629, 22114610";"Brill Academic Publishers";No;No;0,116;Q4;10;0;22;0;4;2;0,20;0,00;0,00;0;0;Netherlands;Western Europe;"Brill Academic Publishers";"2011, 2013-2014, 2016-2021, 2023";"History (Q3); Economics, Econometrics and Finance (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
1199;18400156703;"Actuel Marx";journal;"09944524";"Presses Universitaires de France";No;No;0,115;Q4;8;25;65;920;8;59;0,08;36,80;19,05;0;0;France;Western Europe;"Presses Universitaires de France";"2008-2024";"Philosophy (Q3); Economics and Econometrics (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
1200;5800159959;"Indonesia";journal;"00197289";"Cornell University";No;No;0,115;Q4;17;11;34;85;7;34;0,08;7,73;38,46;0;4;United States;Northern America;"Cornell University";"2011-2024";"Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1201;21100876243;"Itinerarios";journal;"15077241";"University of Warsaw";No;No;0,115;Q4;4;29;89;1123;14;89;0,16;38,72;53,57;0;4;Poland;Eastern Europe;"University of Warsaw";"2018-2024";"Literature and Literary Theory (Q2); History (Q3); Linguistics and Language (Q3); Anthropology (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1202;21101039072;"Praktyka Teoretyczna";journal;"20818130";"University of Wroclaw";Yes;Yes;0,115;Q4;5;45;107;1566;17;101;0,12;34,80;47,17;0;16;Poland;Eastern Europe;"University of Wroclaw";"2019-2024";"Literature and Literary Theory (Q2); Cultural Studies (Q3); History (Q3); Philosophy (Q3); Anthropology (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1203;4000152137;"Sociological Studies of Children and Youth";book series;"15374661";"Emerald Group Publishing Ltd.";No;No;0,115;Q4;15;1;37;38;9;13;0,25;38,00;0,00;0;1;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2001, 2004-2005, 2009-2017, 2019-2020, 2022-2024";"Sociology and Political Science (Q4)";"Social Sciences"
1204;21100464929;"Taiwanese Political Science Review";journal;"10270221";"Taiwanese Political Science Association";No;No;0,115;Q4;3;10;30;625;6;30;0,10;62,50;61,54;0;3;Taiwan;Asiatic Region;"Taiwanese Political Science Association";"2015-2023";"Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1205;21100857116;"American, British and Canadian Studies";journal;"18411487, 1841964X";"";Yes;Yes;0,114;Q4;4;21;58;649;5;52;0,10;30,90;75,00;1;8;Poland;Eastern Europe;"";"2017-2024";"Literature and Literary Theory (Q2); Cultural Studies (Q3); Linguistics and Language (Q3); Anthropology (Q4); Computer Science Applications (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
1206;21100247075;"Codrul Cosminului";journal;"1224032X, 20675860";"Stefan cel Mare University of Suceava";Yes;Yes;0,114;Q4;5;16;62;608;10;61;0,15;38,00;40,00;0;1;Romania;Eastern Europe;"Stefan cel Mare University of Suceava";"2013-2024";"Cultural Studies (Q3); History (Q3); Religious Studies (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
